ordinal;title;description;date;link
1;2006 01 03 - Tuesday;;Tue, 03 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060103Tuesday/The Geoff Show - 2006 01 03 - Tuesday.mp3
2;2006 01 04 - Wednesday;;Wed, 04 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060104Wednesday/The Geoff Show - 2006 01 04 - Wednesday.mp3
3;2006 01 05 - Thursday;;Thu, 05 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060105Thursday/The Geoff Show - 2006 01 05 - Thursday.mp3
4;2006 01 09 - Monday;;Mon, 09 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060109Monday/The Geoff Show - 2006 01 09 - Monday.mp3
5;2006 01 10 - Tuesday;;Tue, 10 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060110Tuesday/The Geoff Show - 2006 01 10 - Tuesday.mp3
6;2006 01 11 - Wednesday;;Wed, 11 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060111Wednesday/The Geoff Show - 2006 01 11 - Wednesday.mp3
7;2006 01 12 - Thursday;;Thu, 12 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060112Thursday/The Geoff Show - 2006 01 12 - Thursday.mp3
8;2006 01 16 - Monday;;Mon, 16 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060116Monday/The Geoff Show - 2006 01 16 - Monday.mp3
9;2006 01 17 - Tuesday;;Tue, 17 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060117Tuesday/The Geoff Show - 2006 01 17 - Tuesday.mp3
10;2006 01 18 - Wednesday;;Wed, 18 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060118Wednesday/The Geoff Show - 2006 01 18 - Wednesday.mp3
11;2006 01 19 - Thursday;;Thu, 19 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060119Thursday1/The Geoff Show - 2006 01 19 - Thursday 1.mp3
12;Podcast Party 1;;Thu, 19 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060119Thursday2Podcast/The Geoff Show - 2006 01 19 - Thursday 2 Podcast.mp3
13;2006 01 23 - Monday;;Mon, 23 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060123Monday/The Geoff Show - 2006 01 23 - Monday.mp3
14;2006 01 24 - Tuesday;;Tue, 24 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060124Tuesday/The Geoff Show - 2006 01 24 - Tuesday.mp3
15;2006 01 25 - Wednesday;;Wed, 25 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060125Wednesday/The Geoff Show - 2006 01 25 - Wednesday.mp3
16;2006 01 26 - Thursday;;Thu, 26 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060126Thursday/The Geoff Show - 2006 01 26 - Thursday.mp3
17;2006 01 30 - Monday;;Mon, 30 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060130Monday/The Geoff Show - 2006 01 30 - Monday.mp3
18;2006 01 31 - Tuesday;;Tue, 31 Jan 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060131Tuesday/The Geoff Show - 2006 01 31 - Tuesday.mp3
19;2006 02 01 - Wednesday;;Wed, 01 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060201Wednesday/The Geoff Show - 2006 02 01 - Wednesday.mp3
20;2006 02 02 - Thursday;;Thu, 02 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060202Thursday/The Geoff Show - 2006 02 02 - Thursday.mp3
21;2006 02 06 - Monday;;Mon, 06 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060206Monday/The Geoff Show - 2006 02 06 - Monday.mp3
22;2006 02 07 - Tuesday;;Tue, 07 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060207Tuesday/The Geoff Show - 2006 02 07 - Tuesday.mp3
23;2006 02 08 - Wednesday;;Wed, 08 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060208Wednesday/The Geoff Show - 2006 02 08 - Wednesday.mp3
24;2006 02 09 - Thursday;;Thu, 09 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060209Thursday/The Geoff Show - 2006 02 09 - Thursday.mp3
25;2006 02 13 - Monday;;Mon, 13 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060213Monday/The Geoff Show - 2006 02 13 - Monday.mp3
26;2006 02 14 - Tuesday;;Tue, 14 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060214Tuesday/The Geoff Show - 2006 02 14 - Tuesday.mp3
27;2006 02 15 - Wednesday;;Wed, 15 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060215Wednesday/The Geoff Show - 2006 02 15 - Wednesday.mp3
28;2006 02 16 - Thursday;;Thu, 16 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060216Thursday/The Geoff Show - 2006 02 16 - Thursday.mp3
29;2006 02 20 - Monday;;Mon, 20 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060220Monday/The Geoff Show - 2006 02 20 - Monday.mp3
30;2006 02 21 - Tuesday;;Tue, 21 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060221Tuesday/The Geoff Show - 2006 02 21 - Tuesday.mp3
31;2006 02 22 - Wednesday;;Wed, 22 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060222Wednesday/The Geoff Show - 2006 02 22 - Wednesday.mp3
32;2006 02 23 - Thursday;;Thu, 23 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060223Thursday/The Geoff Show - 2006 02 23 - Thursday.mp3
33;2006 02 27 - Monday;;Mon, 27 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060227Monday/The Geoff Show - 2006 02 27 - Monday.mp3
34;2006 02 28 - Tuesday;;Tue, 28 Feb 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060228Tuesday/The Geoff Show - 2006 02 28 - Tuesday.mp3
35;2006 03 01 - Wednesday;;Wed, 01 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060301Wednesday/The Geoff Show - 2006 03 01 - Wednesday.mp3
36;2006 03 02 - Thursday;;Thu, 02 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060302Thursday/The Geoff Show - 2006 03 02 - Thursday.mp3
37;2006 03 13 - Monday;;Mon, 13 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060313Monday/The Geoff Show - 2006 03 13 - Monday.mp3
38;2006 03 14 - Tuesday;;Tue, 14 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060314Tuesday/The Geoff Show - 2006 03 14 - Tuesday.mp3
39;2006 03 15 - Wednesday;;Wed, 15 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060315Wednesday/The Geoff Show - 2006 03 15 - Wednesday.mp3
40;2006 03 16 - Thursday;;Thu, 16 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060316Thursday/The Geoff Show - 2006 03 16 - Thursday.mp3
41;2006 03 20 - Monday;;Mon, 20 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060320Monday/The Geoff Show - 2006 03 20 - Monday.mp3
42;2006 03 21 - Tuesday;;Tue, 21 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060321Tuesday/The Geoff Show - 2006 03 21 - Tuesday.mp3
43;2006 03 22 - Wednesday;;Wed, 22 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060322Wednesday/The Geoff Show - 2006 03 22 - Wednesday.mp3
44;2006 03 23 - Thursday;;Thu, 23 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060323Thursday/The Geoff Show - 2006 03 23 - Thursday.mp3
45;2006 03 27 - Monday;;Mon, 27 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060327Monday/The Geoff Show - 2006 03 27 - Monday.mp3
46;2006 03 28 - Tuesday;;Tue, 28 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060328Tuesday/The Geoff Show - 2006 03 28 - Tuesday.mp3
47;2006 03 29 - Wednesday;;Wed, 29 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060329Wednesday/The Geoff Show - 2006 03 29 - Wednesday.mp3
48;2006 03 30 - Thursday;;Thu, 30 Mar 2006 03:00:00 GMT;https://archive.org/download/TheGeoffShow20060330Thursday/The Geoff Show - 2006 03 30 - Thursday.mp3
