title;description;date;link
Inaugral Business;;Tue, 15 Nov 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/1-inaugral-business.mp3
Mudslingin';;Tue, 22 Nov 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/2-mudslingin.mp3
Somehow still on top, somehow still winning;;Tue, 29 Nov 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/3-somehow-still-on-top-somehow-still-winning.mp3
Cross-Fit Dudes;;Tue, 06 Dec 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/4-cross-fit-dudes.mp3
Trump and Kanye, The Ultimate Alliance;;Tue, 13 Dec 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/5-trump-and-kanye-the-ultimate-alliance.mp3
MTV's New Years Resolutions;;Tue, 20 Dec 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/6-mtv-s-new-years-resolutions.mp3
RIP Carrie Fisher You were a babe;;Tue, 27 Dec 2016 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/7-rip-carrie-fisher-you-were-a-babe.mp3
Cumming into 2017;;Wed, 04 Jan 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/8-cumming-into-2017.mp3
The Cast still lives, still reigns supreme;;Wed, 11 Jan 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/9-the-cast-still-lives-still-reigns-supreme.mp3
The ObamaBiden Canada Conspiracy;;Tue, 17 Jan 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/10-the-obamabiden-canada-conspiracy.mp3
Special Guest Dan Soder;;Tue, 24 Jan 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/11-special-guest-dan-soder.mp3
Boy Scouts---with special guest Rich Vos!;;Tue, 31 Jan 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/12-boy-scouts-with-special-guest-rich-vos.mp3
How can we not talk about family;;Tue, 07 Feb 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/13-how-can-we-not-talk-about-family.mp3
A better effort from all of you...;;Wed, 15 Feb 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/14-a-better-effort-from-all-of-you.mp3
Milo-mania!;;Tue, 21 Feb 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/15-milo-mania.mp3
My dog is not gay;;Tue, 28 Feb 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/16-my-dog-is-not-gay.mp3
Blizzards and the Bachelor;;Tue, 07 Mar 2017 03:00:00 GMT;https://s3.eu-west-2.amazonaws.com/podcast.blakeslee.uk/mssp/17-blizzards-and-the-bachelor.mp3
