number;link;title;date
1;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 1 - Inaugral Business.mp3;Inaugral Business;Nov. 22, 2016
2;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 2 - Mudslingin_ [Nov. 22, 2016].mp3;Mudslingin';Nov. 22, 2016
3;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 3 - Somehow still on top, somehow still winning [Nov. 29, 2016](1).mp3;Somehow still on top, somehow still winning;Nov. 29, 2016
4;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 4 - Cross-Fit Dudes [Dec. 6, 2016].mp3;Cross-Fit Dudes;Dec. 13, 2016
5;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 5 - Trump and Kanye, The Ultimate Alliance [Dec. 13, 2016].mp3;Trump and Kanye, The Ultimate Alliance;Dec. 20, 2016
6;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 6 - MTV_s New Years Resolutions [Dec. 20, 2016].mp3;MTV's New Years Resolutions;Dec. 27, 2016
7;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 7 - RIP Carrie Fisher You were a babe [Dec. 27, 2016].mp3;RIP Carrie Fisher You were a babe;Jan. 4, 2017
8;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 8 - Cumming into 2017 [Jan. 4, 2017].mp3;Cumming into 2017;Jan. 11, 2017
9;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 9 - The Cast still lives, still reigns supreme [Jan. 11, 2017].mp3;The Cast still lives, still reigns supreme;Jan. 17, 2017
10;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 10 - The ObamaBiden Canada Conspiracy [Jan. 17, 2017].mp3;The ObamaBiden Canada Conspiracy;Jan. 24, 2017
11;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 11 - Special Guest Dan Soder [Jan. 24, 2017].mp3;Special Guest Dan Soder;Jan. 31, 2017
12;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 12 - Boy Scouts---with special guest Rich Vos! [Jan. 31, 2017].mp3;Boy Scouts---with special guest Rich Vos!;Feb. 7, 2017
13;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 13 - How can we not talk about family [Feb. 7, 2017].mp3;How can we not talk about family;Feb. 15, 2017
14;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 14 - A better effort from all of you... [Feb. 15, 2017].mp3;A better effort from all of you...;Feb. 21, 2017
15;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 15 - Milo-mania! [Feb. 21, 2017].mp3;Milo-mania!;Feb. 28, 2017
16;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 16 - My dog is not gay [Feb. 28, 2017].mp3;My dog is not gay;Mar. 7, 2017
17;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 17 - Blizzards and the Bachelor [Mar. 7, 2017].mp3;Blizzards and the Bachelor;Mar. 16, 2017
18;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 18 - The Oxygen Network [Mar. 16, 2017].mp3;The Oxygen Network;Mar. 21, 2017
19;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 19 - Dick Renaissance [Mar. 21, 2017].mp3;Dick Renaissance;Mar. 28, 2017
20;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 20 - Song of Songs [Mar. 28, 2017].mp3;Song of Songs;Apr. 4, 2017
21;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 21 - Alt-Right Fred [Apr. 4, 2017].mp3;Alt-Right Fred;Apr. 11, 2017
22;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 22 - We Are the Lions [Apr. 11, 2017].mp3;We Are the Lions;Apr. 19, 2017
23;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 23 - The Night Cast (vol 1) [Apr. 19, 2017].mp3;The Night Cast (vol 1);Apr. 26, 2017
24;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 24 - A Secret within a secret [Apr. 26, 2017].mp3;A Secret within a secret;May 3, 2017
25;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 25 - Sodom and Gomorrah [May 3, 2017].mp3;Sodom and Gomorrah;May 10, 2017
26;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 26 - Clap Back [May 10, 2017].mp3;Clap Back;May 17, 2017
27;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 27 - Q+ [May 17, 2017].mp3;Q+;May 24, 2017
28;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 28 - Set Life [May 24, 2017].mp3;Set Life;May 31, 2017
29;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 29 - To Catch a Prophet [May 31, 2017].mp3;To Catch a Prophet;Jun. 7, 2017
30;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 30 - Tokyo Partners [Jun. 7, 2017].mp3;Tokyo Partners;Jun. 14, 2017
31;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 31 - Femmes and Supremmes [Jun. 14, 2017].mp3;Femmes and Supremmes;Jun. 19, 2017
32;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 32 - Liza Slesh [Jun. 19, 2017].mp3;Liza Slesh;Jun. 28, 2017
33;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 33 - Shit Night [Jun. 28, 2017].mp3;Shit Night;Jul. 6, 2017
34;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 34 - Hardcore History [Jul. 6, 2017].mp3;Hardcore History;Jul. 12, 2017
35;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 35 - The Secret Life of Morons [Jul. 12, 2017].mp3;The Secret Life of Morons;Jul. 19, 2017
36;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 36 - The Rocky Shores of Reality [Jul. 19, 2017].mp3;The Rocky Shores of Reality;Jul. 24, 2017
37;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 37 - Sound hound [Jul. 24, 2017].mp3;Sound hound;Aug. 2, 2017
38;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 38 - Dong Wax [Aug. 2, 2017].mp3;Dong Wax;Aug. 9, 2017
39;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 39 - Friday Night Lights [Aug. 9, 2017].mp3;Friday Night Lights;Aug. 14, 2017
40;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 40 - Live Cast 8.11.17 part 1 [Aug. 14, 2017].mp3;Live Cast 8.11.17 part 1;Aug. 16, 2017
41;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 41 - Butt Stuff [Aug. 16, 2017].mp3;Butt Stuff;Aug. 23, 2017
42;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 42 - We_re Smart Now [Aug. 23, 2017].mp3;We're Smart Now;Aug. 30, 2017
43;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 43 - Racist Werewolf [Aug. 30, 2017].mp3;Racist Werewolf;Sep. 6, 2017
44;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 44 - Michael Myers [Sep. 6, 2017].mp3;Michael Myers;Sep. 13, 2017
45;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 45 - Pewdie Pie [Sep. 13, 2017].mp3;Pewdie Pie;Sep. 20, 2017
46;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 46 - The Other Sister [Sep. 20, 2017].mp3;The Other Sister;Sep. 27, 2017
47;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 47 - The Almighty Knee [Sep. 27, 2017].mp3;The Almighty Knee;Oct. 3, 2017
48;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 48 - Our First Black Guest [Oct. 3, 2017].mp3;Our First Black Guest;Oct. 11, 2017
49;https://msspoldt.b-cdn.net/Matt and Shane_s Secret Podcast Ep. 49 - War of the Roses [Oct. 11, 2017].mp3;War of the Roses;Oct. 12, 2017
